product_name,product_price
"Samsung Galaxy S8 Plus 6.2-Inch (4GB RAM, 64GB ROM) Android 7.0 Nougat, 12MP+8MP, 4G LTE - Midnight Black Plus Glass&smart Case","₦ 162,000"
"Samsung Samsung Galaxy S10 6.1-Inch AMOLED (8GB,128GB ROM) Android 9.0 Pie, 12MP + 12MP + 10MP Dual SIM","₦ 338,500"
Samsung Galaxy A10s 6.2-Inches Screen Display Android 9.0 Dual Sim SmartPhone - 2GB RAM 32GB Internal Storage,"₦ 91,800"
Samsung Galaxy A2 Core Android SmartPhone - 5 Inches Screen Display Wide - 1GB RAM 16GB Internal Storage - Dual Sim - Blue,"₦ 48,300"
"Samsung Galaxy A51 6.5-Inch (4GB,128GB ROM) Android10.0, (48MP +12MP + 5MP + 5MP) + 32MP Dual SIM - Prism Crush Blue","₦ 189,999"
Samsung Galaxy A10s 6.2-Inches Screen Display Android 9.0 Dual Sim SmartPhone - 2GB RAM 32GB Internal Storage,"₦ 91,500"
"Samsung Galaxy S8 Plus 6.2-Inch (4GB RAM, 64GB ROM) Android 7.0 Nougat, 12MP+8MP, 4G LTE - Midnight Black Plus Free Glass&case.","₦ 145,000"
Samsung Galaxy A2 Core Android SmartPhone - 5 Inches Screen Display Wide - 1GB RAM 16GB Internal Storage - Dual Sim - Blue,"₦ 42,300"
"Samsung Galaxy A71 6GB RAM 128GB  ROM 6.7"" 4500mAh Dual Sim -FINGERPRINT- Prism Crush Blue","₦ 209,999"
"Samsung Samsung Galaxy A2 Core 5"" 1GB RAM 16GB ROM 5MP + 5MP Camera Dual Sim 2600Mah","₦ 36,000"
"Samsung Galaxy Note 10 6.3-Inch (8GB RAM, 256GB ROM), (12MP + 16MP) Dual SIM 3,500 MAh Smartphone - Aura White","₦ 389,999"
"Samsung Galaxy S8 5.8-Inch QHD (4GB,64GB ROM) Android 7.0 Nougat, 12MP + 8MP Dual SIM LTE - Maple Gold","₦ 160,000"
"Samsung Galaxy S10 Plus (S10+) 6.4-Inch AMOLED (8GB, 128GB ROM) Android 9.0 Pie, (12MP + 12MP + 16MP)+(10MP+8MP) Dual SIM 4G Smartphone - Prism Blue","₦ 419,999"
Samsung Galaxy S9 4GB+64GB 5.8 Inch Midnight Black Used Phone 99% New Single Sim 4G Android Smartphone,"₦ 122,100"
Samsung Galaxy S9 4GB+64GB 5.8 Inch Coral Blue Used Phone 99% New Single Sim 4G Android Smartphone,"₦ 122,100"
"Samsung Galaxy S8 5.8-Inch QHD (4GB,64GB ROM) Android 7.0 Nougat, 12MP + 8MP Dual SIM LTE - Maple Gold","₦ 160,000"
"Samsung Galaxy A51 (4GB 128GB) Dual Sim, 4000mAh, Android 10.0, 6.5'' - Prism Crush Black","₦ 144,000"
"Samsung Galaxy Note8 Smartphone 6.3""  6GB RAM + 64GB ROM 12MP + 12MP Single SIM - Blue","₦ 143,000"
Samsung Galaxy A2 Core Android SmartPhone - 5 Inches Screen Display Wide - 1GB RAM 16GB Internal Storage - Dual Sim - Dark Grey,"₦ 42,300"
Samsung Galaxy A10s 6.2-Inches Screen Display Android 9.0 Dual Sim SmartPhone - 2GB RAM 32GB Internal Storage,"₦ 74,800"
"Samsung Galaxy A71- 6GB RAM- 128GB  ROM 6.7"" 4500mAh Dual Sim - Fingerprint- Prism Crush Black","₦ 211,999"
"Samsung Galaxy Note8 Smartphone 6.3""  6GB RAM + 64GB ROM 12MP + 12MP Single SIM - Black","₦ 139,000"
"Samsung Galaxy Note8 Smartphone 6.3""  6GB RAM + 64GB ROM 12MP + 12MP Single SIM - Grey","₦ 139,000"
"Samsung Galaxy Note8 Smartphone 6.3""  6GB RAM + 64GB ROM 12MP + 12MP Single SIM - Black","₦ 139,900"
,
,
,
,
,
,
,
,
"Samsung Galaxy Note8 Smartphone 6.3""  6GB RAM + 64GB ROM 12MP + 12MP Single SIM - Blue","₦ 139,900"
"Samsung Galaxy S9+ 6.2"" 6GB RAM + 64GB ROM Double 12MP Single SIM Smartphone - Purple","₦ 142,900"
"Samsung Galaxy A60 6GB+64GB 6.3"" 32MP Triple Cameras Snapdragon 675 15W QC 3500mAh-Blue + 2 Pcs Screen Protector","₦ 115,240 - ₦ 115,259"
"Samsung Galaxy A2 Core Dual Sim 5"" - 16gb+1gb - 4G LTE Black","₦ 39,500"
"Samsung Galaxy Note8 Smartphone 6.3""  6GB RAM + 64GB ROM 12MP + 12MP Single SIM - Grey","₦ 139,900"
"Samsung Galaxy S6 Edge - 5.1"" - 16MP + 5MP - 32GB ROM + 3GB RAM - Smartphone - Green","₦ 54,900"
"Samsung Galaxy S20 6.2-Inch (8GB 128GB ROM) Android 10.0 (12MP + 64MP + 12MP)+(10MP)  4G, Dual SIM  - Cosmic Gray","₦ 420,000"
"Samsung Galaxy A6s 6GB+128GB 6.0"" 12MP+5MP AI Dual Camera Snapdragon 660 Octa Core Face&Fingerprint ID Unlock 3300mAh-Black","₦ 105,288"
"Samsung Galaxy S9+ 6.2"" 6GB RAM + 64GB ROM Double 12MP Single SIM Smartphone - Black","₦ 149,900"
"Samsung Galaxy S8 Plus (S8+) - 5.8 Inches (4GB,64GB ROM)  - Maple Gold","₦ 179,900"
"Samsung Galaxy A01- 5.7-Inch (2GB RAM, 16GB ROM), (2MP + 13MP) Dual SIM 3,000 MAh Smartphone ","₦ 51,000"
"Samsung Galaxy S8 - 5.8"" 4GB RAM + 64GB ROM - 12MP - Single SIM Smartphone - Gold","₦ 99,900"
Samsung Galaxy S8 Plus (S8+) 6.2 Inches Android 8.0(Oreo) 4G LTE (4GB RAM 64GB ROM) Single Sim - Black+Free Pouch,"₦ 190,000"
Samsung Samsung Galaxy S9+ ( S9 Plus ) Duel Sim ( 2 Sim Card)6.2'' Inch QHD 6GB+64GB 12MP+8MP 4G Smartphone - Royal Blue,"₦ 190,000"
Samsung 10000mAh   USB   External Battery Mini Portable,"₦ 9,918"
"Samsung Galaxy S7 Edge 5.5"" Inch 4GB RAM 32GB ROM Lte Phone - Gold","₦ 79,900"
Samsung Galaxy Note 4  LTE Smartphone 5.7 Inch 16MP 3GB 32GB  Mobile Phone -Black,"₦ 53,990"
"Samsung Galaxy S7 Edge 5.5"" Inch 4GB RAM 32GB ROM Lte Phone - Black","₦ 79,900"
Samsung Galaxy S4 I9507V 4G Smartphone 5.0'' 2600mAh FHD 13MP Camera 2GB RAM 16GB ROM Mobile Phone,"₦ 89,000"
